trait,wave_feature,beta,pval,r2,correlation,n_overlap
sleepy_accident,lead3_level5_energy,0.05344781816784483,0.7434677596946179,1.6039842262172144e-06,0.0012664849887681717,66775
sleepy_accident,lead3_level4_energy,0.16264077292773885,0.31931634843167234,1.485248046340093e-05,0.003853891599986009,66775
sleepy_accident,lead3_level3_energy,0.02382612522169762,0.8840090708631456,3.187476343979867e-07,0.0005645773947035504,66775
sleepy_accident,lead3_level2_energy,-0.05673697729922963,0.7282875522143218,1.8074759208230873e-06,-0.0013444240105723562,66775
sleepy_accident,lead3_level1_energy,-0.03617799864148579,0.8246873436888941,7.349016252211626e-07,-0.000857264033851304,66775
sleepy_accident,lead4_level6_approx_energy,-0.21454578384995462,0.1889517896615602,2.584521203696788e-05,-0.005083818647118189,66775
sleepy_accident,lead4_level6_energy,-0.06160667023789592,0.7060087367332559,2.1310596379775504e-06,-0.0014598149323750559,66775
sleepy_accident,lead4_level5_energy,0.06558236815008518,0.6880039286070911,2.4149843466103604e-06,0.0015540219907408906,66775
sleepy_accident,lead4_level4_energy,0.15581798763111337,0.3400396318547062,1.3632493932269618e-05,0.0036922207319137275,66775
sleepy_accident,lead4_level3_energy,0.08266456821654668,0.6127436124587883,3.836886337427181e-06,0.001958797165872822,66775
sleepy_accident,lead4_level2_energy,-0.1264181154465539,0.43889052095888914,8.973435686621123e-06,-0.002995569342393612,66775
sleepy_accident,lead4_level1_energy,-0.11499519237247956,0.4813553264284084,7.4250519889185185e-06,-0.0027248948584373423,66775
sleepy_accident,lead5_level6_approx_energy,-0.13960817287454108,0.39264400319673887,1.0943640481042571e-05,-0.0033081173622412424,66775
sleepy_accident,lead5_level6_energy,-0.07783894145374148,0.6336374975271482,3.4019973681465032e-06,-0.0018444504242098026,66775
sleepy_accident,lead5_level5_energy,0.062141544713503714,0.7035765705568411,2.168224363385818e-06,0.0014724891727361169,66775
sleepy_accident,lead5_level4_energy,0.07043273284328043,0.6662760484794286,2.785410509908992e-06,0.0016689549156863447,66775
sleepy_accident,lead5_level3_energy,-0.07303881523400438,0.6547149498174483,2.995349960621674e-06,-0.0017307079364921561,66775
sleepy_accident,lead5_level2_energy,-0.12306304297463809,0.4511347119511735,8.503455240171931e-06,-0.0029160684559670223,66775
sleepy_accident,lead5_level1_energy,-0.17356342571094932,0.2878977594490598,1.6914398473399928e-05,-0.004112711814948221,66775
sleepy_accident,lead6_level6_approx_energy,0.0005824608637338329,0.9971543939569125,1.9049117838676466e-10,1.3801834494862903e-05,66775
sleepy_accident,lead6_level6_energy,0.12087501978335344,0.45922284921666223,8.20376567345349e-06,0.0028642216524523184,66775
sleepy_accident,lead6_level5_energy,0.1040118499963177,0.5242080231749318,6.07443337152791e-06,0.002464636559357145,66775
sleepy_accident,lead6_level4_energy,0.2095146727726686,0.19953415366300456,2.464728100981528e-05,0.0049646028049260965,66775
sleepy_accident,lead6_level3_energy,0.10185332245883141,0.5328538915344536,5.82492759126918e-06,0.0024134886768470776,66775
sleepy_accident,lead6_level2_energy,-0.031289886221347714,0.8480633451667128,5.497283054323177e-07,-0.000741436649016331,66775
